ZULKIFLY;31-12-2025;2200;D/S;P130;W130;68164BZ300;212.000;PCS;1 of 1;220000172957;311;224310117457
ZULKIFLY;31-12-2025;2200;D/S;P130;W130;68172BZ310;60.000;PCS;1 of 1;220000172959;311;224310117457
ZULKIFLY;31-12-2025;2200;D/S;P130;W130;68173BZ250;150.000;PCS;1 of 1;220000173008;311;224310117457
ZULKIFLY;31-12-2025;2200;D/S;P130;W130;75552BZ360;40.000;PCS;1 of 1;220000172963;311;224310117457
ZULKIFLY;31-12-2025;2200;D/S;P130;W130;75552BZ190;210.000;PCS;1 of 1;220000173033;311;224310117457
ZULKIFLY;31-12-2025;2200;D/S;P130;W130;68162BZ240;200.000;PCS;1 of 1;220000173025;311;224310117457
ZULKIFLY;31-12-2025;2200;D/S;P130;W130;68162BZ240;160.000;PCS;1 of 1;220000173025;311;224310117457
ZULKIFLY;31-12-2025;2200;D/S;P130;W130;68172BZ310;150.000;PCS;1 of 1;220000172959;311;224310117457
ZULKIFLY;31-12-2025;2200;D/S;P130;W130;68171BZ250;90.000;PCS;1 of 1;220000173006;311;224310117457
ZULKIFLY;31-12-2025;2200;D/S;P130;W130;68173BZ250;60.000;PCS;1 of 1;220000173008;311;224310117457
ZULKIFLY;31-12-2025;2200;D/S;P130;W130;68171BZ250;90.000;PCS;1 of 1;220000173006;311;224310117457
ZULKIFLY;31-12-2025;2200;D/S;P130;W130;75551BZ200;90.000;PCS;1 of 1;220000173032;311;224310117457
ZULKIFLY;31-12-2025;2200;D/S;P130;W130;75552BZ360;150.000;PCS;1 of 1;220000172963;311;224310117457
ZULKIFLY;31-12-2025;2200;D/S;P130;W130;75551BZ370;120.000;PCS;1 of 1;220000172962;311;224310117457
ZULKIFLY;31-12-2025;2200;D/S;P130;W130;68161BZ240;120.000;PCS;1 of 1;220000173014;311;224310117457
ZULKIFLY;31-12-2025;2200;D/S;P130;W130;68172BZ230;150.000;PCS;1 of 1;220000173007;311;224310117457
ZULKIFLY;31-12-2025;2200;D/S;P130;W130;68162BZ300;244.000;PCS;1 of 1;220000172955;311;224310117457
ZULKIFLY;31-12-2025;2200;D/S;P130;W130;68161BZ300;120.000;PCS;1 of 1;220000172954;311;224310117457
ZULKIFLY;31-12-2025;2200;D/S;P130;W130;68174BZ210;150.000;PCS;1 of 1;220000173009;311;224310117457
ZULKIFLY;31-12-2025;2200;D/S;P130;W130;68174BZ310;150.000;PCS;1 of 1;220000172961;311;224310117457
