Z110;D74A;RM-CLG-0.8X44.5N1;551;;1;N1RF2;P110;Process;Others;2.000;KG;MOHD AZHAR BIN TAIB;2025-11-28;2025-11-24;IPS12101;223210012428
Z210;D27A;67458-BZ150-SGP3;551;;1;N1P3;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-11-28;2025-11-24;IPS12105;223210012428
Z210;D27A;67455-BZ020-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-11-28;2025-11-24;IPS12105;223210012428
Z210;D27A;67451-BZ070-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-11-28;2025-11-24;IPS12105;223210012428
Z210;D92A;67457-BZ180-SGP3;551;;1;N1P3;P120;Setting;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-11-28;2025-11-24;IPS12105;223210012428
Z210;P2-13A;PW935593-RF;551;;1;N1RF1;P120;Setting;Welding NG;1.000;PCS;MOHD AZHAR BIN TAIB;2025-11-28;2025-11-24;IPS12101;223210012428
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Setting;Welding NG;1.000;PCS;MOHD AZHAR BIN TAIB;2025-11-28;2025-11-24;IPS12101;223210012428
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Setting;Welding NG;1.000;PCS;MOHD AZHAR BIN TAIB;2025-11-28;2025-11-24;IPS12101;223210012428
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Setting;Welding NG;1.000;PCS;MOHD AZHAR BIN TAIB;2025-11-28;2025-11-24;IPS12101;223210012428
