Z210;D92A;67457-BZ180-SGP3;551;;1;N1P3;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2026-04-25;2026-04-15;IPS12105;223210013156
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2026-04-25;2026-04-15;IPS12101;223210013156
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2026-04-25;2026-04-15;IPS12101;223210013156
Z210;P2-30A;PW932578-RF;551;;1;N1RF1;P120;Process;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2026-04-25;2026-04-15;IPS12101;223210013156
Z210;P2-30A;PW932577-78-RF;551;;1;N1RF2;P120;Process;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2026-04-25;2026-04-15;IPS12101;223210013156
Z210;P2-30A;PW935213-RF;551;;1;N1RF2;P120;Process;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2026-04-25;2026-04-15;IPS12101;223210013156
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;Cutting NG;10.000;PCS;MOHD AZHAR BIN TAIB;2026-04-25;2026-04-15;IPS12101;223210013156
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Cutting NG;35.000;PCS;MOHD AZHAR BIN TAIB;2026-04-25;2026-04-15;IPS12101;223210013156
Z210;P2-31A;PW935701-RF;551;;1;N1RF2;P120;Process;Cutting NG;3.000;PCS;MOHD AZHAR BIN TAIB;2026-04-25;2026-04-15;IPS12101;223210013156
