Z110;D92A;RM-CLT-1.6X230N1;551;;1;N1P1;P110;Process;Others;3.800;KG;MOHD AZHAR BIN TAIB;2025-09-19;2025-09-08;IPS12105;223210012036
Z210;D27A;68171-74-BZ250-EX;551;;1;N1TPX2;P110;Process;Patches;101.000;PCS;MOHD AZHAR BIN TAIB;2025-09-19;2025-09-19;IPS12103;223210012036
Z210;3M0A;72910-503M4T010-RX;551;;1;N1RFX1;P110;Process;Patches;19.000;PCS;MOHD AZHAR BIN TAIB;2025-09-19;2025-09-19;IPS12103;223210012036
Z210;P2-13A;PW944527-28-EX;551;;1;N1TPX1;P110;Process;Nylon Pile;6.000;PCS;MOHD AZHAR BIN TAIB;2025-09-19;2025-09-19;IPS12103;223210012036
Z210;D27A;68161-64-BZ230-EX;551;;1;N1TPX2;P110;Process;Patches;8.000;PCS;MOHD AZHAR BIN TAIB;2025-09-19;2025-09-19;IPS12103;223210012036
Z210;D55L;68173-74-BZ180-EX;551;;1;N1TPX1;P110;Process;Patches;13.000;PCS;MOHD AZHAR BIN TAIB;2025-09-19;2025-09-19;IPS12103;223210012036
Z210;P2-30A;PW937117-120-RX;551;;1;N1RFX1;P120;Process;Patches;10.000;PCS;MOHD AZHAR BIN TAIB;2025-09-19;2025-09-19;IPS12103;223210012036
Z210;D27A;68161-64-BZ240-RX;551;;1;N1RFX1;P120;Process;Patches;4.000;PCS;MOHD AZHAR BIN TAIB;2025-09-19;2025-09-19;IPS12103;223210012036
