Z210;P2-30A;PW935214-RF;551;;1;N1RF2;P120;Process;Cutting NG;20.000;PCS;MOHD AZHAR BIN TAIB;2025-08-25;2025-08-06;IPS12101;223210011860
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-08-25;2025-08-07;IPS12105;223210011860
Z210;D27A;67457-BZ160-SGP3;551;;1;N1P3;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-08-25;2025-08-07;IPS12105;223210011860
Z210;D27A;67458-BZ150-SGP3;551;;1;N1P3;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-08-25;2025-08-07;IPS12105;223210011860
Z210;D27A;67455-BZ020-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-08-25;2025-08-07;IPS12105;223210011860
Z210;D55L;67467-BZ230-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-08-25;2025-08-07;IPS12105;223210011860
Z210;D55L;67463-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-08-25;2025-08-07;IPS12105;223210011860
Z210;D55L;67462-BZ090-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;MOHD AZHAR BIN TAIB;2025-08-25;2025-08-07;IPS12105;223210011860
Z210;D38L;67453-BZ110-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-08-25;2025-08-07;IPS12105;223210011860
Z210;D38L;67463-BZ110-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-08-25;2025-08-07;IPS12105;223210011860
