Z110;P2-13A;RM-CLS-0.8X200.5;551;;1;N1RF1;P110;Process;Others;26.300;KG;MOHD AZHAR BIN TAIB;2025-12-31;2025-12-26;IPS12101;223210012606
Z210;D55L;67462-BZ090-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-12-31;2025-12-26;IPS12105;223210012606
Z210;D66B;67467-BZ260-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-12-31;2025-12-26;IPS12105;223210012606
Z210;D92A;67453-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-12-31;2025-12-26;IPS12105;223210012606
Z210;D27A;67451-BZ070-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-12-31;2025-12-26;IPS12105;223210012606
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-12-31;2025-12-26;IPS12105;223210012606
Z210;P2-13A;PW935215-16 RF;551;;1;N1RF1;P120;Setting;Bending NG;2.000;PCS;MOHD AZHAR BIN TAIB;2025-12-31;2025-12-26;IPS12101;223210012606
Z210;P2-13A;PW935593-RF;551;;1;N1RF1;P120;Setting;Body NG;2.000;PCS;MOHD AZHAR BIN TAIB;2025-12-31;2025-12-26;IPS12101;223210012606
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Setting;Body NG;2.000;PCS;MOHD AZHAR BIN TAIB;2025-12-31;2025-12-26;IPS12101;223210012606
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;Welding NG;2.000;PCS;MOHD AZHAR BIN TAIB;2025-12-31;2025-12-26;IPS12101;223210012606
