Z210;D66B;67467-BZ260-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-12-15;2025-12-05;IPS12105;223210012501
Z210;P2-13A;PW935593-RF;551;;1;N1RF1;P120;Process;Welding NG;1.000;PCS;MOHD AZHAR BIN TAIB;2025-12-15;2025-12-05;IPS12101;223210012501
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;Welding NG;1.000;PCS;MOHD AZHAR BIN TAIB;2025-12-15;2025-12-05;IPS12101;223210012501
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;Welding NG;3.000;PCS;MOHD AZHAR BIN TAIB;2025-12-15;2025-12-05;IPS12101;223210012501
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;Welding NG;3.000;PCS;MOHD AZHAR BIN TAIB;2025-12-15;2025-12-05;IPS12101;223210012501
Z210;P2-13A;PW935231-32-RF;551;;1;N1RF1;P120;Process;Welding NG;4.000;PCS;MOHD AZHAR BIN TAIB;2025-12-15;2025-12-05;IPS12101;223210012501
Z210;P2-13A;PW935211-RF;551;;1;N1RF1;P120;Process;Hump;16.000;PCS;MOHD AZHAR BIN TAIB;2025-12-15;2025-12-05;IPS12101;223210012501
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;Hump;8.000;PCS;MOHD AZHAR BIN TAIB;2025-12-15;2025-12-05;IPS12101;223210012501
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-12-15;2025-12-05;IPS12101;223210012501
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-12-15;2025-12-05;IPS12101;223210012501
