Z110;D87A;RM-CLT-1.6X168;551;;1;N1P1;P110;Process;Others;3.600;KG;MOHD AZHAR BIN TAIB;2025-09-30;2025-09-29;IPS12105;223210012136
Z210;P2-31A;PW935700-RF;551;;1;N1RF1;P120;Process;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-09-30;2025-09-29;IPS12101;223210012136
Z210;P2-31A;PW935702-RF;551;;1;N1RF2;P120;Process;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-09-30;2025-09-29;IPS12101;223210012136
Z210;P2-31A;PW935699-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-09-30;2025-09-29;IPS12101;223210012136
Z210;P2-31A;PW935701-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-09-30;2025-09-29;IPS12101;223210012136
Z210;P2-30A;PW933793-RF;551;;1;N1RF1;P120;Process;Cutting NG;3.000;PCS;MOHD AZHAR BIN TAIB;2025-09-30;2025-09-29;IPS12101;223210012136
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;Cutting NG;2.000;PCS;MOHD AZHAR BIN TAIB;2025-09-30;2025-09-29;IPS12101;223210012136
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;Dented;15.000;PCS;MOHD AZHAR BIN TAIB;2025-09-30;2025-09-29;IPS12101;223210012136
