Z210;P2-30A;PW933791-92-RF;551;;1;N1RF1;P120;Process;Bending NG;23.000;PCS;MOHD AZHAR BIN TAIB;2025-08-30;2025-08-26;IPS12101;223210011949
Z210;D92A;67458-BZ180-SGP3;551;;1;N1P3;P120;Setting;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-08-30;2025-08-26;IPS12105;223210011949
Z210;D92A;67453-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;MOHD AZHAR BIN TAIB;2025-08-30;2025-08-26;IPS12105;223210011949
Z210;D92A;67467-BZ250-SG;551;;1;N1P1;P120;Setting;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-08-30;2025-08-26;IPS12105;223210011949
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;7.000;PCS;MOHD AZHAR BIN TAIB;2025-08-30;2025-08-26;IPS12105;223210011949
Z210;D55L;67462-BZ090-SG;551;;1;N1P1;P120;Setting;D-Test;7.000;PCS;MOHD AZHAR BIN TAIB;2025-08-30;2025-08-26;IPS12105;223210011949
Z210;D55L;67463-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;MOHD AZHAR BIN TAIB;2025-08-30;2025-08-26;IPS12105;223210011949
Z210;D55L;67453-BZ140-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-08-30;2025-08-26;IPS12105;223210011949
Z210;D55L;PW933718-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;MOHD AZHAR BIN TAIB;2025-08-30;2025-08-26;IPS12105;223210011949
