Z110;D27A;RM-CLG-0.8X86.7;551;;1;N1RF1;P110;Process;Others;5.100;KG;MOHD AZHAR BIN TAIB;2025-09-24;2025-09-17;IPS12101;223210012078
Z210;D27A;67458-BZ150-SGP3;551;;1;N1P3;P120;Setting;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-09-24;2025-09-17;IPS12105;223210012078
Z210;D27A;67455-BZ020-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-09-24;2025-09-17;IPS12105;223210012078
Z210;D27A;67451-BZ070-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-09-24;2025-09-17;IPS12105;223210012078
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-09-24;2025-09-17;IPS12105;223210012078
Z210;D27A;67462-BZ110-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-09-24;2025-09-17;IPS12105;223210012078
Z210;D55L;67463-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-09-24;2025-09-17;IPS12105;223210012078
Z210;D55L;67467-BZ230-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-09-24;2025-09-17;IPS12105;223210012078
Z210;D55L;67462-BZ090-SG;551;;1;N1P1;P120;Setting;D-Test;11.000;PCS;MOHD AZHAR BIN TAIB;2025-09-24;2025-09-17;IPS12105;223210012078
