Z210;D55L;67458-BZ140-SG;551;;1;N1P1;P120;Process;THREAD NG;1.000;PCS;MOHD AZHAR BIN TAIB;2025-08-30;2025-08-27;IPS12105;223210011956
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-08-30;2025-08-27;IPS12101;223210011956
Z210;P2-13A;PW935211-RF;551;;1;N1RF1;P120;Process;Hump;6.000;PCS;MOHD AZHAR BIN TAIB;2025-08-30;2025-08-27;IPS12101;223210011956
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;Hump;6.000;PCS;MOHD AZHAR BIN TAIB;2025-08-30;2025-08-27;IPS12101;223210011956
Z210;P2-13A;PW935212-RF;551;;1;N1RF1;P120;Process;Body NG;27.000;PCS;MOHD AZHAR BIN TAIB;2025-08-30;2025-08-27;IPS12101;223210011956
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Body NG;27.000;PCS;MOHD AZHAR BIN TAIB;2025-08-30;2025-08-27;IPS12101;223210011956
Z210;P2-30A;PW933800-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-08-30;2025-08-27;IPS12101;223210011956
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-08-30;2025-08-27;IPS12101;223210011956
Z210;P2-30A;PW933793-RF;551;;1;N1RF1;P120;Process;Cutting NG;11.000;PCS;MOHD AZHAR BIN TAIB;2025-08-30;2025-08-27;IPS12101;223210011956
