Z210;D55L;68161-62-BZ250-EX;551;;1;N1TPX2;P120;Process;Patches;20.000;PCS;MOHD AZHAR BIN TAIB;2026-04-23;2026-04-22;IPS12103;223210013140
Z210;D63D;67458-BZ110-SG;551;;1;N1P1;P120;Process;THREAD NG;5.000;PCS;MOHD AZHAR BIN TAIB;2026-04-23;2026-04-13;IPS12105;223210013140
Z210;D20N;67457-BZ140-SG;551;;1;N1P1;P120;Process;THREAD NG;9.000;PCS;MOHD AZHAR BIN TAIB;2026-04-23;2026-04-13;IPS12105;223210013140
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;Hump;7.000;PCS;MOHD AZHAR BIN TAIB;2026-04-23;2026-04-13;IPS12101;223210013140
Z210;P2-13A;PW935593-RF;551;;1;N1RF1;P120;Process;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2026-04-23;2026-04-13;IPS12101;223210013140
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2026-04-23;2026-04-13;IPS12101;223210013140
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;Cutting NG;2.000;PCS;MOHD AZHAR BIN TAIB;2026-04-23;2026-04-13;IPS12101;223210013140
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Cutting NG;12.000;PCS;MOHD AZHAR BIN TAIB;2026-04-23;2026-04-13;IPS12101;223210013140
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Cutting NG;17.000;PCS;MOHD AZHAR BIN TAIB;2026-04-23;2026-04-13;IPS12101;223210013140
