Z110;P2-13A;RM-CLS-0.8X200.5;551;;1;N1RF1;P110;Process;Others;67.400;KG;MOHD AZHAR BIN TAIB;2025-09-26;2025-09-23;IPS12101;223210012107
Z210;D92A;67453-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-09-26;2025-09-23;IPS12105;223210012107
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-09-26;2025-09-23;IPS12105;223210012107
Z210;D55L;67463-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;MOHD AZHAR BIN TAIB;2025-09-26;2025-09-23;IPS12105;223210012107
Z210;D55L;67467-BZ230-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;MOHD AZHAR BIN TAIB;2025-09-26;2025-09-23;IPS12105;223210012107
Z210;D55L;67462-BZ090-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-09-26;2025-09-23;IPS12105;223210012107
Z210;D55L;67453-BZ140-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-09-26;2025-09-23;IPS12105;223210012107
Z210;D38L;67457-BZ150-SGP3;551;;1;N1P1;P120;Setting;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-09-26;2025-09-23;IPS12105;223210012107
Z210;D38L;67458-BZ130-SGP3;551;;1;N1P3;P120;Setting;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-09-26;2025-09-23;IPS12105;223210012107
