Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Cutting NG;2.000;PCS;MOHD AZHAR BIN TAIB;2026-03-31;2026-03-19;IPS12101;223210013024
Z210;D55L;67462-BZ090-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;MOHD AZHAR BIN TAIB;2026-03-31;2026-03-30;IPS12105;223210013024
Z210;D55L;67467-BZ230-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;MOHD AZHAR BIN TAIB;2026-03-31;2026-03-30;IPS12105;223210013024
Z210;D55L;67463-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;MOHD AZHAR BIN TAIB;2026-03-31;2026-03-30;IPS12105;223210013024
Z210;D55L;67453-BZ140-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;MOHD AZHAR BIN TAIB;2026-03-31;2026-03-30;IPS12105;223210013024
Z210;P2-30A;PW933718-SG;551;;1;N1P1;P120;Setting;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2026-03-31;2026-03-30;IPS12105;223210013024
Z210;P2-13A;PW935103-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2026-03-31;2026-03-30;IPS12105;223210013024
Z210;P2-13A;PW935250-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2026-03-31;2026-03-30;IPS12105;223210013024
Z210;P2-13A;PW935503-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2026-03-31;2026-03-30;IPS12105;223210013024
