Z110;D74A;RM-CLG-0.8X44.5N1;551;;1;N1RF2;P110;Process;Others;2.000;KG;MOHD AZHAR BIN TAIB;2025-09-25;2025-09-22;IPS12101;223210012098
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;Welding NG;2.000;PCS;MOHD AZHAR BIN TAIB;2025-09-25;2025-09-22;IPS12101;223210012098
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;Welding NG;2.000;PCS;MOHD AZHAR BIN TAIB;2025-09-25;2025-09-22;IPS12101;223210012098
Z210;P2-13A;PW935231-32-RF;551;;1;N1RF1;P120;Process;Welding NG;2.000;PCS;MOHD AZHAR BIN TAIB;2025-09-25;2025-09-22;IPS12101;223210012098
Z210;P2-13A;PW935227-RF;551;;1;N1RF1;P120;Process;Hump;3.000;PCS;MOHD AZHAR BIN TAIB;2025-09-25;2025-09-22;IPS12101;223210012098
Z210;P2-13A;PW935228-RF;551;;1;N1RF1;P120;Process;Hump;2.000;PCS;MOHD AZHAR BIN TAIB;2025-09-25;2025-09-22;IPS12101;223210012098
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Hump;5.000;PCS;MOHD AZHAR BIN TAIB;2025-09-25;2025-09-22;IPS12101;223210012098
Z210;P2-13A;PW935212-RF;551;;1;N1RF1;P120;Process;Dented;4.000;PCS;MOHD AZHAR BIN TAIB;2025-09-25;2025-09-22;IPS12101;223210012098
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Dented;4.000;PCS;MOHD AZHAR BIN TAIB;2025-09-25;2025-09-22;IPS12101;223210012098
Z210;P2-13A;PW935211-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-09-25;2025-09-22;IPS12101;223210012098
