Z110;D87A;RM-CLG-0.8X44.5;551;;1;N1RF2;P110;Process;Others;1.200;KG;MOHD AZHAR BIN TAIB;2025-12-29;2025-12-22;IPS12101;223210012583
Z210;D92A;67457-BZ180-SGP3;551;;1;N1P3;P120;Setting;D-Test;7.000;PCS;MOHD AZHAR BIN TAIB;2025-12-29;2025-12-22;IPS12105;223210012583
Z210;D66B;67465-BZ140-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-12-29;2025-12-22;IPS12105;223210012583
Z210;D66B;67455-BZ110-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-12-29;2025-12-22;IPS12105;223210012583
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-12-29;2025-12-22;IPS12105;223210012583
Z210;D55L;67463-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-12-29;2025-12-22;IPS12105;223210012583
Z210;D55L;67467-BZ230-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-12-29;2025-12-22;IPS12105;223210012583
Z210;D55L;67453-BZ140-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-12-29;2025-12-22;IPS12105;223210012583
Z210;D55L;67462-BZ090-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;MOHD AZHAR BIN TAIB;2025-12-29;2025-12-22;IPS12105;223210012583
