Z210;D63D;67458-BZ110-SG;551;;1;N1P1;P120;Process;THREAD NG;9.000;PCS;MOHD AZHAR BIN TAIB;2025-11-28;2025-11-25;IPS12105;223210012434
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Hump;8.000;PCS;MOHD AZHAR BIN TAIB;2025-11-28;2025-11-25;IPS12101;223210012434
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Hump;8.000;PCS;MOHD AZHAR BIN TAIB;2025-11-28;2025-11-25;IPS12101;223210012434
Z210;P2-13A;PW935228-RF;551;;1;N1RF1;P120;Process;Hump;11.000;PCS;MOHD AZHAR BIN TAIB;2025-11-28;2025-11-25;IPS12101;223210012434
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Cutting NG;6.000;PCS;MOHD AZHAR BIN TAIB;2025-11-28;2025-11-25;IPS12101;223210012434
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Cutting NG;3.000;PCS;MOHD AZHAR BIN TAIB;2025-11-28;2025-11-25;IPS12101;223210012434
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;Cutting NG;10.000;PCS;MOHD AZHAR BIN TAIB;2025-11-28;2025-11-25;IPS12101;223210012434
Z210;P2-13A;PW933794-RF;551;;1;N1RF1;P120;Process;Cutting NG;2.000;PCS;MOHD AZHAR BIN TAIB;2025-11-28;2025-11-25;IPS12101;223210012434
