Z210;D55L;68161-62-BZ250-EX;551;;1;N1TPX2;P110;Process;Patches;70.000;PCS;MOHD AZHAR BIN TAIB;2026-06-16;2026-06-15;IPS12103;223210013443
Z210;D63D;67458-BZ110-SG;551;;1;N1P1;P120;Process;THREAD NG;1.000;PCS;MOHD AZHAR BIN TAIB;2026-06-16;2026-06-09;IPS12105;223210013443
Z210;P2-13A;PW935246-SG;551;;1;N1P1;P120;Process;THREAD NG;5.000;PCS;MOHD AZHAR BIN TAIB;2026-06-16;2026-06-09;IPS12105;223210013443
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Cutting NG;5.000;PCS;MOHD AZHAR BIN TAIB;2026-06-16;2026-06-09;IPS12101;223210013443
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;Cutting NG;4.000;PCS;MOHD AZHAR BIN TAIB;2026-06-16;2026-06-09;IPS12101;223210013443
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Cutting NG;3.000;PCS;MOHD AZHAR BIN TAIB;2026-06-16;2026-06-09;IPS12101;223210013443
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;Cutting NG;2.000;PCS;MOHD AZHAR BIN TAIB;2026-06-16;2026-06-09;IPS12101;223210013443
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;Cutting NG;4.000;PCS;MOHD AZHAR BIN TAIB;2026-06-16;2026-06-09;IPS12101;223210013443
Z110;P2-13A;RM-CLS-0.8X200.5;551;;1;N1RF1;P110;Process;Others;29.000;KG;MOHD AZHAR BIN TAIB;2026-06-16;2026-06-09;IPS12101;223210013443
