Z110;D74A;RM-CLG-0.8X44.5N1;551;;1;N1RF2;P110;Process;Others;3.000;KG;MOHD AZHAR BIN TAIB;2025-09-26;2025-09-23;IPS12101;223210012109
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;Welding NG;2.000;PCS;MOHD AZHAR BIN TAIB;2025-09-26;2025-09-23;IPS12101;223210012109
Z210;P2-31A;PW935699-RF;551;;1;N1RF1;P120;Setting;Body NG;2.000;PCS;MOHD AZHAR BIN TAIB;2025-09-26;2025-09-23;IPS12101;223210012109
Z210;P2-31A;PW935701-RF;551;;1;N1RF2;P120;Setting;Body NG;2.000;PCS;MOHD AZHAR BIN TAIB;2025-09-26;2025-09-23;IPS12101;223210012109
Z210;P2-31A;PW935700-RF;551;;1;N1RF1;P120;Setting;Body NG;2.000;PCS;MOHD AZHAR BIN TAIB;2025-09-26;2025-09-23;IPS12101;223210012109
Z210;P2-31A;PW935702-RF;551;;1;N1RF2;P120;Setting;Body NG;2.000;PCS;MOHD AZHAR BIN TAIB;2025-09-26;2025-09-23;IPS12101;223210012109
Z210;P2-31A;PW935231-32-RF;551;;1;N1RF1;P120;Setting;Body NG;6.000;PCS;MOHD AZHAR BIN TAIB;2025-09-26;2025-09-23;IPS12101;223210012109
Z210;P2-13A;PW935227-RF;551;;1;N1RF1;P120;Process;Hump;5.000;PCS;MOHD AZHAR BIN TAIB;2025-09-26;2025-09-23;IPS12101;223210012109
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF1;P120;Process;Hump;6.000;PCS;MOHD AZHAR BIN TAIB;2025-09-26;2025-09-23;IPS12101;223210012109
