Z110;D55L;RM-CLM-0.5X1.7SUS;551;;1;N1RFX1;P110;Setting;Dented;2.000;KG;MOHD AZHAR BIN TAIB;2025-10-24;2025-10-23;IPS12103;223210012255
Z110;D74A;PP-TAPE-FLOCK-12MM;551;;1;N1TPX1;P110;Setting;Wavy;63.360;M;MOHD AZHAR BIN TAIB;2025-10-24;2025-10-23;IPS12103;223210012255
Z110;D74A;PP-TAPE-FLOCK-14MM;551;;1;N1TPX1;P110;Setting;Wavy;63.360;M;MOHD AZHAR BIN TAIB;2025-10-24;2025-10-23;IPS12103;223210012255
