Z210;P2-31A;PW935227-RF;551;;1;N1RF1;P120;Process;Crimping NG;32.000;PCS;MOHD AZHAR BIN TAIB;2026-03-19;2026-03-11;IPS12101;223210012994
Z210;D87A;67455-BZ040-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;MOHD AZHAR BIN TAIB;2026-03-19;2026-03-12;IPS12105;223210012994
Z210;D87A;67465-BZ060-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;MOHD AZHAR BIN TAIB;2026-03-19;2026-03-12;IPS12105;223210012994
Z210;D66B;67467-BZ260-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2026-03-19;2026-03-12;IPS12105;223210012994
Z210;D92A;67453-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2026-03-19;2026-03-12;IPS12105;223210012994
Z210;D27A;67462-BZ110-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2026-03-19;2026-03-12;IPS12105;223210012994
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;MOHD AZHAR BIN TAIB;2026-03-19;2026-03-12;IPS12105;223210012994
Z210;D55L;67463-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;6.000;PCS;MOHD AZHAR BIN TAIB;2026-03-19;2026-03-12;IPS12105;223210012994
Z210;D55L;67462-BZ090-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;MOHD AZHAR BIN TAIB;2026-03-19;2026-03-12;IPS12105;223210012994
