HAFIZ;27-02-2021;2200;N/S;W120;100186;67408-BZ130-SA;260.000;PCS;541;225110001065
HAFIZ;27-02-2021;2200;N/S;W120;100186;67408-BZ140-SA;600.000;PCS;541;225110001065
HAFIZ;27-02-2021;2200;N/S;W120;100186;67407-BZ170-SA;300.000;PCS;541;225110001065
HAFIZ;27-02-2021;2200;N/S;W120;100186;67408-BZ170-SA;120.000;PCS;541;225110001065
HAFIZ;27-02-2021;2200;N/S;W120;100186;67407-BZ150-SA;180.000;PCS;541;225110001065
HAFIZ;27-02-2021;2200;N/S;W120;100186;67408-BZ150-SA;140.000;PCS;541;225110001065
HAFIZ;27-02-2021;2200;N/S;W120;100186;PW935505-SA;200.000;PCS;541;225110001065
HAFIZ;27-02-2021;2200;N/S;W120;100186;PW935506-SA;700.000;PCS;541;225110001065
HAFIZ;27-02-2021;2200;N/S;W120;100186;PW935507-SA;60.000;PCS;541;225110001065
HAFIZ;27-02-2021;2200;N/S;W120;100186;PW935508-SA;540.000;PCS;541;225110001065
HAFIZ;27-02-2021;2200;N/S;W120;100186;PW932659-SA;30.000;PCS;541;225110001065
