DIRA;20-04-2026;2200;D/S;P130;W130;68162BZ220;90.000;PCS;1 of 1;220000179221;311;224310122231
DIRA;20-04-2026;2200;D/S;P130;W130;68161BZ240;150.000;PCS;1 of 1;220000179224;311;224310122231
DIRA;20-04-2026;2200;D/S;P130;W130;75551BZ210;160.000;PCS;1 of 1;220000179228;311;224310122231
DIRA;20-04-2026;2200;D/S;P130;W130;68171BZ310;120.000;PCS;1 of 1;220000179160;311;224310122231
DIRA;20-04-2026;2200;D/S;P130;W130;75551BZ210;140.000;PCS;1 of 1;220000179228;311;224310122231
DIRA;20-04-2026;2200;D/S;P130;W130;68174BZ300;700.000;PCS;1 of 1;220000179215;311;224310122231
DIRA;20-04-2026;2200;D/S;P130;W130;68164BZ230;280.000;PCS;1 of 1;220000179237;311;224310122231
DIRA;20-04-2026;2200;D/S;P130;W130;68164BZ220;120.000;PCS;1 of 1;220000179227;311;224310122231
DIRA;20-04-2026;2200;D/S;P130;W130;68163BZ220;32.000;PCS;1 of 1;220000179222;311;224310122231
DIRA;20-04-2026;2200;D/S;N/S;W130;100.000;20.000;21-04-2026;;PCS;311;224310122231
