PADIL;21-12-2023;2200;N/S;W130;W132;PW932564;60.000;PCS;311;226110002342
PADIL;21-12-2023;2200;N/S;W130;W132;PW935038;90.000;PCS;311;226110002342
PADIL;21-12-2023;2200;N/S;W130;W132;PW932578;60.000;PCS;311;226110002342
PADIL;21-12-2023;2200;N/S;W130;W132;PW932659;120.000;PCS;311;226110002342
PADIL;21-12-2023;2200;N/S;W130;W132;PW932660;90.000;PCS;311;226110002342
PADIL;21-12-2023;2200;N/S;W130;W132;PW935191;60.000;PCS;311;226110002342
PADIL;21-12-2023;2200;N/S;W130;W132;PW935192;180.000;PCS;311;226110002342
PADIL;21-12-2023;2200;N/S;W130;W132;PW937117;90.000;PCS;311;226110002342
PADIL;21-12-2023;2200;N/S;W130;W132;PW937119;60.000;PCS;311;226110002342
PADIL;21-12-2023;2200;N/S;W130;W132;PW937120;30.000;PCS;311;226110002342
PADIL;21-12-2023;2200;N/S;W130;W132;PW937121;180.000;PCS;311;226110002342
