Z110;D74A;RM-CLG-0.65X70;551;;1;N1RF1;P110;Process;Hump;4.000;KG;Shamratul Nahar Mohammad;2024-01-10;2024-01-06;IPS12101;223210008762
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Dented;1.000;PCS;Shamratul Nahar Mohammad;2024-01-10;2024-01-06;IPS12101;223210008762
Z210;P2-13A;PW935211-RF;551;;1;N1RF1;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2024-01-10;2024-01-06;IPS12101;223210008762
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2024-01-10;2024-01-06;IPS12101;223210008762
Z210;P2-30A;PW933799-RF;551;;1;N1RF1;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2024-01-10;2024-01-06;IPS12101;223210008762
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2024-01-10;2024-01-06;IPS12101;223210008762
Z210;P2-30A;PW932578-RF;551;;1;N1RF1;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2024-01-10;2024-01-06;IPS12101;223210008762
Z210;P2-30A;PW932577-78-RF;551;;1;N1RF2;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2024-01-10;2024-01-06;IPS12101;223210008762
Z210;P2-30A;PW933793-RF;551;;1;N1RF1;P120;Process;Cutting NG;1.000;PCS;Shamratul Nahar Mohammad;2024-01-10;2024-01-06;IPS12101;223210008762
