Z110;D87A;RM-CLG-0.6X70;551;;1;N1RF1;P110;Process;Others;10.900;KG;Shamratul Nahar Mohammad;2024-09-12;2024-09-02;IPS12101;223210010058
Z210;D92A;67453-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Shamratul Nahar Mohammad;2024-09-12;2024-09-02;IPS12105;223210010058
Z210;D55L;67453-BZ140-SG;551;;1;N1P1;P120;Setting;D-Test;7.000;PCS;Shamratul Nahar Mohammad;2024-09-12;2024-09-02;IPS12105;223210010058
Z210;D55L;67462-BZ090-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-09-12;2024-09-02;IPS12105;223210010058
Z210;D27A;67451-BZ070-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-09-12;2024-09-02;IPS12105;223210010058
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;Shamratul Nahar Mohammad;2024-09-12;2024-09-02;IPS12105;223210010058
Z210;D27A;67462-BZ110-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Shamratul Nahar Mohammad;2024-09-12;2024-09-02;IPS12105;223210010058
Z210;P2-30A;PW933718-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-09-12;2024-09-02;IPS12105;223210010058
Z210;P2-13A;PW935104-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Shamratul Nahar Mohammad;2024-09-12;2024-09-02;IPS12105;223210010058
