Z110;P2-13A;RM-CLS-0.8X200.5;551;;1;N1RF1;P110;Process;Dented;13.100;KG;Shamratul Nahar Mohammad;2023-09-25;2023-09-18;IPS12101;223210008170
Z210;D27A;67457-BZ160-SGP3;551;;1;N1P3;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2023-09-25;2023-09-18;IPS12105;223210008170
Z210;D27A;67458-BZ150-SGP3;551;;1;N1P3;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2023-09-25;2023-09-18;IPS12105;223210008170
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2023-09-25;2023-09-18;IPS12105;223210008170
Z210;D92A;67453-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2023-09-25;2023-09-18;IPS12105;223210008170
Z210;D38L;67465-BZ070-SG-2;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Shamratul Nahar Mohammad;2023-09-25;2023-09-18;IPS12105;223210008170
Z210;P2-30A;PW933718-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Shamratul Nahar Mohammad;2023-09-25;2023-09-18;IPS12105;223210008170
Z210;P2-30A;PW933725-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Shamratul Nahar Mohammad;2023-09-25;2023-09-18;IPS12105;223210008170
Z210;P2-13A;PW935231-32-RF;551;;1;N1RF1;P120;Setting;Bending NG;1.000;PCS;Shamratul Nahar Mohammad;2023-09-25;2023-09-18;IPS12101;223210008170
Z210;P2-13A;PW935231-32-RF;551;;1;N1RF1;P120;Setting;Bending NG;4.000;PCS;Shamratul Nahar Mohammad;2023-09-25;2023-09-18;IPS12101;223210008170
