Z110;D74A;RM-CLG-0.65X70;551;;1;N1RF1;P110;Process;Others;31.400;KG;Shamratul Nahar Mohammad;2025-01-15;2025-01-08;IPS12101;223210010716
Z210;D87A;67455-BZ040-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;Shamratul Nahar Mohammad;2025-01-15;2025-01-08;IPS12105;223210010716
Z210;D87A;67465-BZ060-SG;551;;1;N1P1;P120;Setting;D-Test;6.000;PCS;Shamratul Nahar Mohammad;2025-01-15;2025-01-08;IPS12105;223210010716
Z210;D92A;67457-BZ180-SGP3;551;;1;N1P3;P120;Setting;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2025-01-15;2025-01-08;IPS12105;223210010716
Z210;D92A;67453-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2025-01-15;2025-01-08;IPS12105;223210010716
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;Shamratul Nahar Mohammad;2025-01-15;2025-01-08;IPS12105;223210010716
Z210;D27A;67457-BZ160-SGP3;551;;1;N1P3;P120;Setting;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2025-01-15;2025-01-08;IPS12105;223210010716
Z210;D27A;67458-BZ150-SGP3;551;;1;N1P3;P120;Setting;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2025-01-15;2025-01-08;IPS12105;223210010716
