Z110;P2-13A;RM-CLG-1.0X55.0;551;;1;N1P1;P110;Process;Others;1.200;KG;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12105;223210010724
Z210;P2-13A;PW935211-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12101;223210010724
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12101;223210010724
Z210;P2-13A;PW935593-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12101;223210010724
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12101;223210010724
Z210;P2-30A;PW933800-RF;551;;1;N1RF1;P120;Process;Crimping NG;6.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12101;223210010724
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;Crimping NG;6.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12101;223210010724
Z210;P2-31A;PW935699-RF;551;;1;N1RF1;P120;Process;Crimping NG;1.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12101;223210010724
Z210;P2-31A;PW935701-RF;551;;1;N1RF2;P120;Process;Crimping NG;1.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12101;223210010724
