Z110;D27A;RM-CLG-0.8X86.7;551;;1;N1RF1;P110;Process;Others;13.500;KG;Shamratul Nahar Mohammad;2024-11-11;2024-11-04;IPS12101;223210010370
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Crimping NG;5.000;PCS;Shamratul Nahar Mohammad;2024-11-11;2024-11-04;IPS12101;223210010370
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-11-11;2024-11-04;IPS12101;223210010370
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-11-11;2024-11-04;IPS12101;223210010370
Z210;P2-13A;PW935593-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-11-11;2024-11-04;IPS12101;223210010370
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-11-11;2024-11-04;IPS12101;223210010370
Z210;P2-30A;PW933799-RF;551;;1;N1RF1;P120;Process;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-11-11;2024-11-04;IPS12101;223210010370
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-11-11;2024-11-04;IPS12101;223210010370
Z210;P2-30A;PW932577-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-11-11;2024-11-04;IPS12101;223210010370
