Z110;D92A;RM-CLT-1.6X200;551;;1;N1P1;P110;Process;Others;4.800;KG;Shamratul Nahar Mohammad;2024-10-24;2024-10-22;IPS12105;223210010295
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;6.000;PCS;Shamratul Nahar Mohammad;2024-10-24;2024-10-22;IPS12105;223210010295
Z210;D27A;67451-BZ070-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-10-24;2024-10-22;IPS12105;223210010295
Z210;D27A;67457-BZ160-SGP3;551;;1;N1P3;P120;Setting;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-10-24;2024-10-22;IPS12105;223210010295
Z210;D27A;67458-BZ150-SGP3;551;;1;N1P3;P120;Setting;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-10-24;2024-10-22;IPS12105;223210010295
Z210;D55L;67463-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Shamratul Nahar Mohammad;2024-10-24;2024-10-22;IPS12105;223210010295
Z210;D55L;67467-BZ230-SG;551;;1;N1P1;P120;Setting;D-Test;9.000;PCS;Shamratul Nahar Mohammad;2024-10-24;2024-10-22;IPS12105;223210010295
Z210;D55L;67453-BZ140-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;Shamratul Nahar Mohammad;2024-10-24;2024-10-22;IPS12105;223210010295
Z210;D55L;67462-BZ090-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;Shamratul Nahar Mohammad;2024-10-24;2024-10-22;IPS12105;223210010295
Z210;P2-30A;PW933718-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-10-24;2024-10-22;IPS12105;223210010295
