Z110;P2-13A;RM-CLS-0.8X143.5;551;;1;N1RF1;P110;Process;Others;48.400;KG;Shamratul Nahar Mohammad;2024-11-22;2024-11-18;IPS12101;223210010440
Z210;D63D;67457-BZ110-SG;551;;1;N1P1;P120;Process;THREAD NG;1.000;PCS;Shamratul Nahar Mohammad;2024-11-22;2024-11-18;IPS12105;223210010440
Z210;D20N;67458-BZ140-SG;551;;1;N1P1;P120;Process;THREAD NG;3.000;PCS;Shamratul Nahar Mohammad;2024-11-22;2024-11-18;IPS12105;223210010440
Z210;D20N;67458-BZ200-SG;551;;1;N1P1;P120;Process;THREAD NG;1.000;PCS;Shamratul Nahar Mohammad;2024-11-22;2024-11-18;IPS12105;223210010440
Z210;P2-31A;PW935231-32-RF;551;;1;N1RF1;P120;Process;Welding NG;3.000;PCS;Shamratul Nahar Mohammad;2024-11-22;2024-11-18;IPS12101;223210010440
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-11-22;2024-11-18;IPS12101;223210010440
Z210;P2-30A;PW932577-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-11-22;2024-11-18;IPS12101;223210010440
Z210;P2-30A;PW932577-78-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-11-22;2024-11-18;IPS12101;223210010440
Z210;P2-31A;PW935700-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-11-22;2024-11-18;IPS12101;223210010440
Z210;P2-31A;PW935702-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-11-22;2024-11-18;IPS12101;223210010440
