Z210;D74A;67458-BZ200-SG;551;;1;N1P1;P120;Process;THREAD NG;1.000;PCS;Shamratul Nahar Mohammad;2024-02-29;2024-02-22;IPS12105;223210009008
Z210;P2-13A;PW935593-RF;551;;1;N1RF1;P120;Process;Welding NG;2.000;PCS;Shamratul Nahar Mohammad;2024-02-29;2024-02-22;IPS12101;223210009008
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;Welding NG;2.000;PCS;Shamratul Nahar Mohammad;2024-02-29;2024-02-22;IPS12101;223210009008
Z210;P2-13A;PW935231-32-RF;551;;1;N1RF1;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2024-02-29;2024-02-22;IPS12101;223210009008
Z210;P2-13A;PW935211-RF;551;;1;N1RF1;P120;Setting;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-02-29;2024-02-22;IPS12101;223210009008
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Setting;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-02-29;2024-02-22;IPS12101;223210009008
Z210;P2-13A;PW935227-RF;551;;1;N1RF1;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2024-02-29;2024-02-22;IPS12101;223210009008
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2024-02-29;2024-02-22;IPS12101;223210009008
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2024-02-29;2024-02-22;IPS12101;223210009008
