Z110;D92A;RM-CLG-0.8X44.5N1;551;;1;N1RF2;P110;Process;Dented;1.000;KG;Shamratul Nahar Mohammad;2023-09-21;2023-09-09;IPS12101;223210008140
Z210;P2-30A;PW933791-92-RF;551;;1;N1RF1;P120;Setting;Body NG;6.000;PCS;Shamratul Nahar Mohammad;2023-09-21;2023-09-09;IPS12101;223210008140
Z210;P2-13A;PW935593-RF;551;;1;N1RF1;P120;Setting;Body NG;3.000;PCS;Shamratul Nahar Mohammad;2023-09-21;2023-09-09;IPS12101;223210008140
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Setting;Body NG;3.000;PCS;Shamratul Nahar Mohammad;2023-09-21;2023-09-09;IPS12101;223210008140
Z210;P2-13A;PW935231-32-RF;551;;1;N1RF1;P120;Setting;Body NG;2.000;PCS;Shamratul Nahar Mohammad;2023-09-21;2023-09-09;IPS12101;223210008140
Z210;P2-13A;PW935227-RF;551;;1;N1RF1;P120;Process;Crimping NG;10.000;PCS;Shamratul Nahar Mohammad;2023-09-21;2023-09-09;IPS12101;223210008140
Z210;P2-13A;PW935228-RF;551;;1;N1RF1;P120;Process;Crimping NG;1.000;PCS;Shamratul Nahar Mohammad;2023-09-21;2023-09-09;IPS12101;223210008140
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Crimping NG;11.000;PCS;Shamratul Nahar Mohammad;2023-09-21;2023-09-09;IPS12101;223210008140
Z210;P2-13A;PW935211-RF;551;;1;N1RF1;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2023-09-21;2023-09-09;IPS12101;223210008140
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2023-09-21;2023-09-09;IPS12101;223210008140
