Z210;D92A;67457-BZ180-SGP3;551;;1;N1P3;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2025-01-21;2025-01-16;IPS12105;223210010751
Z210;P2-30A;PW932577-78-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2025-01-21;2025-01-16;IPS12101;223210010751
Z210;P2-30A;PW933800-RF;551;;1;N1RF1;P120;Process;Level NG;4.000;PCS;Shamratul Nahar Mohammad;2025-01-21;2025-01-16;IPS12101;223210010751
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;Level NG;4.000;PCS;Shamratul Nahar Mohammad;2025-01-21;2025-01-16;IPS12101;223210010751
Z210;P2-31A;PW935700-RF;551;;1;N1RF1;P120;Process;Cutting NG;2.000;PCS;Shamratul Nahar Mohammad;2025-01-21;2025-01-16;IPS12101;223210010751
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;Cutting NG;1.000;PCS;Shamratul Nahar Mohammad;2025-01-21;2025-01-16;IPS12101;223210010751
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;Cutting NG;1.000;PCS;Shamratul Nahar Mohammad;2025-01-21;2025-01-16;IPS12101;223210010751
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;Cutting NG;3.000;PCS;Shamratul Nahar Mohammad;2025-01-21;2025-01-16;IPS12101;223210010751
