Z210;D87A;67465-BZ060-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-05-15;2024-05-01;IPS12105;223210009375
Z210;P2-13A;PW935593-RF;551;;1;N1RF1;P120;Process;Welding NG;3.000;PCS;Shamratul Nahar Mohammad;2024-05-15;2024-05-01;IPS12101;223210009375
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;Welding NG;3.000;PCS;Shamratul Nahar Mohammad;2024-05-15;2024-05-01;IPS12101;223210009375
Z210;P2-13A;PW935231-32-RF;551;;1;N1RF1;P120;Process;Welding NG;2.000;PCS;Shamratul Nahar Mohammad;2024-05-15;2024-05-01;IPS12101;223210009375
Z210;P2-13A;PW935212-RF;551;;1;N1RF1;P120;Process;Crimping NG;4.000;PCS;Shamratul Nahar Mohammad;2024-05-15;2024-05-01;IPS12101;223210009375
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Crimping NG;4.000;PCS;Shamratul Nahar Mohammad;2024-05-15;2024-05-01;IPS12101;223210009375
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2024-05-15;2024-05-01;IPS12101;223210009375
