Z110;D27A;RM-CLG-0.8X44.5N1;551;;1;N1RF2;P110;Process;Dented;1.200;KG;Shamratul Nahar Mohammad;2024-09-12;2024-09-02;IPS12101;223210010059
Z210;P2-13A;PW935215-16 RF;551;;1;N1RF1;P120;Process;Bending NG;3.000;PCS;Shamratul Nahar Mohammad;2024-09-12;2024-09-02;IPS12101;223210010059
Z210;P2-30A;PW933791-92-RF;551;;1;N1RF1;P120;Process;Bending NG;8.000;PCS;Shamratul Nahar Mohammad;2024-09-12;2024-09-02;IPS12101;223210010059
Z210;P2-31A;PW935700-RF;551;;1;N1RF1;P120;Process;Welding NG;2.000;PCS;Shamratul Nahar Mohammad;2024-09-12;2024-09-02;IPS12101;223210010059
Z210;P2-31A;PW935702-RF;551;;1;N1RF2;P120;Process;Welding NG;2.000;PCS;Shamratul Nahar Mohammad;2024-09-12;2024-09-02;IPS12101;223210010059
Z210;P2-31A;PW935231-32-RF;551;;1;N1RF1;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2024-09-12;2024-09-02;IPS12101;223210010059
Z210;P2-13A;PW935227-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-09-12;2024-09-02;IPS12101;223210010059
Z210;P2-13A;PW935228-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-09-12;2024-09-02;IPS12101;223210010059
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-09-12;2024-09-02;IPS12101;223210010059
