Z110;P2-13A;RM-CLS-0.7X103;551;;1;N1RF2;P110;Process;Dented;7.500;KG;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-09;2024-12-06;IPS12101;223210010538
Z210;D55L;67467-BZ230-SG;551;;1;N1P1;P120;Setting;D-Test;6.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-09;2024-12-06;IPS12105;223210010538
Z210;D38L;67455-BZ050-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-09;2024-12-06;IPS12105;223210010538
Z210;P2-30A;PW933718-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-09;2024-12-06;IPS12105;223210010538
Z210;P2-13A;PW935249-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-09;2024-12-06;IPS12105;223210010538
Z210;P2-13A;PW933791-92-RF;551;;1;N1RF1;P120;Setting;Bending NG;6.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-09;2024-12-06;IPS12101;223210010538
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;Level NG;10.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-09;2024-12-06;IPS12101;223210010538
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;Level NG;10.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-09;2024-12-06;IPS12101;223210010538
Z210;P2-13A;PW935593-RF;551;;1;N1RF1;P120;Process;Welding NG;1.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-09;2024-12-06;IPS12101;223210010538
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;Welding NG;1.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-09;2024-12-06;IPS12101;223210010538
