Z110;D87A;RM-CLG-0.6X70;551;;1;N1RF1;P110;Process;Others;5.500;KG;Shamratul Nahar Mohammad;2024-11-01;2024-10-31;IPS12101;223210010342
Z210;D74A;67458-BZ200-SG;551;;1;N1P1;P120;Process;THREAD NG;1.000;PCS;Shamratul Nahar Mohammad;2024-11-01;2024-10-31;IPS12105;223210010342
Z210;D87A;67457-BZ100-SG;551;;1;N1P1;P120;Process;THREAD NG;2.000;PCS;Shamratul Nahar Mohammad;2024-11-01;2024-10-31;IPS12105;223210010342
Z210;D20N;67457-BZ140-SG;551;;1;N1P1;P120;Process;THREAD NG;1.000;PCS;Shamratul Nahar Mohammad;2024-11-01;2024-10-31;IPS12105;223210010342
Z210;D87A;67455-BZ040-SG;551;;1;N1P1;P120;Process;THREAD NG;6.000;PCS;Shamratul Nahar Mohammad;2024-11-01;2024-10-31;IPS12105;223210010342
Z210;D55L;67463-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-11-01;2024-10-31;IPS12105;223210010342
Z210;D55L;67453-BZ140-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-11-01;2024-10-31;IPS12105;223210010342
