Z110;P2-30A;RM-CLS-0.8X200.5;551;;1;N1RF1;P110;Process;Hump;9.000;KG;Shamratul Nahar Mohammad;2024-02-19;2024-02-08;IPS12101;223210008952
Z210;P2-13A;PW935246-SG;551;;1;N1P1;P120;Process;THREAD NG;32.000;PCS;Shamratul Nahar Mohammad;2024-02-19;2024-02-08;IPS12105;223210008952
Z210;P2-13A;PW935212-RF;551;;1;N1RF1;P120;Process;Crimping NG;3.000;PCS;Shamratul Nahar Mohammad;2024-02-19;2024-02-08;IPS12101;223210008952
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Crimping NG;3.000;PCS;Shamratul Nahar Mohammad;2024-02-19;2024-02-08;IPS12101;223210008952
Z210;P2-13A;PW935211-RF;551;;1;N1RF1;P120;Process;Hump;2.000;PCS;Shamratul Nahar Mohammad;2024-02-19;2024-02-08;IPS12101;223210008952
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;Hump;2.000;PCS;Shamratul Nahar Mohammad;2024-02-19;2024-02-08;IPS12101;223210008952
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-02-19;2024-02-08;IPS12101;223210008952
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-02-19;2024-02-08;IPS12101;223210008952
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Cutting NG;3.000;PCS;Shamratul Nahar Mohammad;2024-02-19;2024-02-08;IPS12101;223210008952
