Z110;D87A;RM-CLG-0.8X44.5;551;;1;N1RF2;P110;Process;Others;1.000;KG;Shamratul Nahar Mohammad;2024-10-24;2024-10-22;IPS12101;223210010296
Z210;P2-13A;PW935250-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;Shamratul Nahar Mohammad;2024-10-24;2024-10-22;IPS12105;223210010296
Z210;P2-13A;PW935215-16 RF;551;;1;N1RF1;P120;Setting;Bending NG;6.000;PCS;Shamratul Nahar Mohammad;2024-10-24;2024-10-22;IPS12101;223210010296
Z210;P2-30A;PW933777-RF;551;;1;N1RF1;P120;Setting;Bending NG;2.000;PCS;Shamratul Nahar Mohammad;2024-10-24;2024-10-22;IPS12101;223210010296
Z210;P2-13A;PW935231-32-RF;551;;1;N1RF1;P120;Setting;Bending NG;32.000;PCS;Shamratul Nahar Mohammad;2024-10-24;2024-10-22;IPS12101;223210010296
Z210;P2-30A;PW933791-92-RF;551;;1;N1RF1;P120;Setting;Level NG;7.000;PCS;Shamratul Nahar Mohammad;2024-10-24;2024-10-22;IPS12101;223210010296
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;Welding NG;2.000;PCS;Shamratul Nahar Mohammad;2024-10-24;2024-10-22;IPS12101;223210010296
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;Welding NG;2.000;PCS;Shamratul Nahar Mohammad;2024-10-24;2024-10-22;IPS12101;223210010296
Z210;P2-13A;PW935593-RF;551;;1;N1RF1;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2024-10-24;2024-10-22;IPS12101;223210010296
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2024-10-24;2024-10-22;IPS12101;223210010296
