Z110;P2-13A;RM-CLS-0.7X103;551;;1;N1RF1;P110;Process;Hump;5.600;KG;Shamratul Nahar Mohammad;2023-10-21;2023-10-12;IPS12101;223210008313
Z210;D27A;67462-BZ110-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2023-10-21;2023-10-12;IPS12105;223210008313
Z210;P2-30A;PW932577-RF;551;;1;N1RF1;P120;Process;Crimping NG;2.000;PCS;Shamratul Nahar Mohammad;2023-10-21;2023-10-12;IPS12101;223210008313
Z210;P2-30A;PW932577-78-RF;551;;1;N1RF2;P120;Process;Crimping NG;2.000;PCS;Shamratul Nahar Mohammad;2023-10-21;2023-10-12;IPS12101;223210008313
Z210;P2-31A;PW935699-RF;551;;1;N1RF1;P120;Process;Dented;1.000;PCS;Shamratul Nahar Mohammad;2023-10-21;2023-10-12;IPS12101;223210008313
Z210;P2-31A;PW935701-RF;551;;1;N1RF2;P120;Process;Dented;1.000;PCS;Shamratul Nahar Mohammad;2023-10-21;2023-10-12;IPS12101;223210008313
Z210;P2-31A;PW935700-RF;551;;1;N1RF1;P120;Process;Cutting NG;1.000;PCS;Shamratul Nahar Mohammad;2023-10-21;2023-10-12;IPS12101;223210008313
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;Cutting NG;2.000;PCS;Shamratul Nahar Mohammad;2023-10-21;2023-10-12;IPS12101;223210008313
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Cutting NG;3.000;PCS;Shamratul Nahar Mohammad;2023-10-21;2023-10-12;IPS12101;223210008313
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;Cutting NG;1.000;PCS;Shamratul Nahar Mohammad;2023-10-21;2023-10-12;IPS12101;223210008313
