Z210;P2-31A;PW935195-SG;551;;1;N1P1;P120;Process;THREAD NG;2.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2025-03-20;2025-03-13;IPS12105;223210011043
Z210;P2-13A;PW935593-RF;551;;1;N1RF1;P120;Process;D-Test;3.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2025-03-20;2025-03-13;IPS12101;223210011043
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;D-Test;3.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2025-03-20;2025-03-13;IPS12101;223210011043
Z210;P2-30A;PW932577-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2025-03-20;2025-03-13;IPS12101;223210011043
Z210;P2-30A;PW932577-78-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2025-03-20;2025-03-13;IPS12101;223210011043
Z210;P2-30A;PW933794-RF;551;;1;N1RF1;P120;Process;Cutting NG;1.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2025-03-20;2025-03-13;IPS12101;223210011043
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Cutting NG;4.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2025-03-20;2025-03-13;IPS12101;223210011043
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;Cutting NG;1.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2025-03-20;2025-03-13;IPS12101;223210011043
Z110;P2-13A;RM-CLS-0.8X200.5;551;;1;N1RF1;P110;Process;Others;21.000;KG;Mohamad Aidil Zhafri Bin Mohamad Zani;2025-03-20;2025-03-13;IPS12101;223210011043
