Z110;D87A;RM-CLT-1.2X157;551;;1;N1P1;P110;Process;Others;2.100;KG;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-26;2024-11-25;IPS12105;223210010473
Z210;P2-30A;PW933718-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-26;2024-11-25;IPS12105;223210010473
Z210;P2-13A;PW935250-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-26;2024-11-25;IPS12105;223210010473
Z210;P2-13A;PW935103-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-26;2024-11-25;IPS12105;223210010473
Z210;P2-13A;PW935104-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-26;2024-11-25;IPS12105;223210010473
Z210;P2-13A;PW935504-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-26;2024-11-25;IPS12105;223210010473
Z210;P2-13A;PW935215-16 RF;551;;1;N1RF1;P120;Process;Dented;10.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-26;2024-11-25;IPS12101;223210010473
Z210;P2-13A;PW935231-32-RF;551;;1;N1RF1;P120;Process;Dented;17.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-26;2024-11-25;IPS12101;223210010473
Z210;P2-31A;PW935699-RF;551;;1;N1RF1;P120;Setting;Body NG;15.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-26;2024-11-25;IPS12101;223210010473
