Z210;D87A;67467-BZ170-SG;551;;1;N1P1;P120;Setting;THREAD NG;16.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12105;223210009962
Z210;P2-13A;PW935211-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12101;223210009962
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12101;223210009962
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12101;223210009962
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12101;223210009962
Z210;P2-30A;PW933800-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12101;223210009962
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12101;223210009962
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Cutting NG;6.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12101;223210009962
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;Cutting NG;2.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12101;223210009962
