Z210;D87A;67455-BZ040-SG;551;;1;N1P1;P120;Setting;D-Test;6.000;PCS;Shamratul Nahar Mohammad;2023-10-10;2023-10-02;IPS12105;223210008262
Z210;P2-31A;PW935700-RF;551;;1;N1RF1;P120;Process;Crimping NG;2.000;PCS;Shamratul Nahar Mohammad;2023-10-10;2023-10-10;IPS12101;223210008262
Z210;P2-31A;PW935702-RF;551;;1;N1RF2;P120;Process;Crimping NG;2.000;PCS;Shamratul Nahar Mohammad;2023-10-10;2023-10-10;IPS12101;223210008262
Z210;P2-30A;PW933799-RF;551;;1;N1RF1;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2023-10-10;2023-10-10;IPS12101;223210008262
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2023-10-10;2023-10-10;IPS12101;223210008262
Z210;P2-30A;PW932578-RF;551;;1;N1RF1;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2023-10-10;2023-10-10;IPS12101;223210008262
Z210;P2-30A;PW932577-78-RF;551;;1;N1RF2;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2023-10-10;2023-10-10;IPS12101;223210008262
Z210;P2-30A;PW932577-78-RF;551;;1;N1RF2;P120;Process;Cutting NG;2.000;PCS;Shamratul Nahar Mohammad;2023-10-10;2023-10-10;IPS12101;223210008262
