Z210;D87A;67455-BZ040-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Shamratul Nahar Mohammad;2024-05-16;2024-05-06;IPS12105;223210009390
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;Welding NG;3.000;PCS;Shamratul Nahar Mohammad;2024-05-16;2024-05-06;IPS12101;223210009390
Z210;P2-13A;PW935231-32-RF;551;;1;N1RF1;P120;Process;Welding NG;5.000;PCS;Shamratul Nahar Mohammad;2024-05-16;2024-05-06;IPS12101;223210009390
Z210;P2-13A;PW935228-RF;551;;1;N1RF1;P120;Process;Crimping NG;6.000;PCS;Shamratul Nahar Mohammad;2024-05-16;2024-05-06;IPS12101;223210009390
Z210;P2-13A;PW935227-RF;551;;1;N1RF1;P120;Process;Crimping NG;3.000;PCS;Shamratul Nahar Mohammad;2024-05-16;2024-05-06;IPS12101;223210009390
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Crimping NG;9.000;PCS;Shamratul Nahar Mohammad;2024-05-16;2024-05-06;IPS12101;223210009390
Z210;P2-13A;PW935212-RF;551;;1;N1RF1;P120;Process;Level NG;6.000;PCS;Shamratul Nahar Mohammad;2024-05-16;2024-05-06;IPS12101;223210009390
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Level NG;6.000;PCS;Shamratul Nahar Mohammad;2024-05-16;2024-05-06;IPS12101;223210009390
Z210;P2-30A;PW933800-RF;551;;1;N1RF1;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2024-05-16;2024-05-06;IPS12101;223210009390
