Z110;P2-31A;RM-CLT-2.3X160;551;;1;N1P1;P110;Process;Others;5.600;KG;MOHD AZHAR BIN TAIB;2025-05-20;2025-05-05;IPS12105;223210011316
Z210;D27A;67472-BZ040-SG;551;;1;N1P1;P120;Process;THREAD NG;3.000;PCS;MOHD AZHAR BIN TAIB;2025-05-20;2025-05-05;IPS12105;223210011316
Z210;D27A;PW935245-SG;551;;1;N1P1;P120;Process;THREAD NG;3.000;PCS;MOHD AZHAR BIN TAIB;2025-05-20;2025-05-05;IPS12105;223210011316
Z210;D87A;67467-BZ170-SG;551;;1;N1P1;P120;Process;THREAD NG;5.000;PCS;MOHD AZHAR BIN TAIB;2025-05-20;2025-05-05;IPS12105;223210011316
Z210;D87A;67455-BZ040-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;MOHD AZHAR BIN TAIB;2025-05-20;2025-05-05;IPS12105;223210011316
Z210;D87A;67465-BZ060-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;MOHD AZHAR BIN TAIB;2025-05-20;2025-05-05;IPS12105;223210011316
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;MOHD AZHAR BIN TAIB;2025-05-20;2025-05-05;IPS12105;223210011316
Z210;D38L;67465-BZ070-SG-2;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-05-20;2025-05-05;IPS12105;223210011316
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;Cutting NG;2.000;PCS;MOHD AZHAR BIN TAIB;2025-05-20;2025-05-05;IPS12101;223210011316
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Cutting NG;4.000;PCS;MOHD AZHAR BIN TAIB;2025-05-20;2025-05-05;IPS12101;223210011316
