Z110;P2-13A;RM-CLS-0.7X103;551;;1;N1RF2;P110;Process;Dented;16.500;KG;Shamratul Nahar Mohammad;2024-08-22;2024-08-22;IPS12101;223210009958
Z210;P2-13A;PW935246-SG;551;;1;N1P1;P120;Process;THREAD NG;25.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-15;IPS12105;223210009958
Z210;D27A;67458-BZ150-SGP3;551;;1;N1P3;P120;Setting;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-15;IPS12105;223210009958
Z210;D27A;67455-BZ020-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-15;IPS12105;223210009958
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-15;IPS12105;223210009958
Z210;D55L;67467-BZ230-SG;551;;1;N1P1;P120;Setting;D-Test;8.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-15;IPS12105;223210009958
Z210;D55L;67463-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;9.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-15;IPS12105;223210009958
Z210;D55L;67453-BZ140-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-15;IPS12105;223210009958
Z210;D38L;67463-BZ110-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-15;IPS12105;223210009958
Z210;D38L;67453-BZ070-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-15;IPS12105;223210009958
