Z110;P2-13A;RM-CLS-0.8X143.5;551;;1;N1RF1;P110;Process;Hump;6.000;KG;Shamratul Nahar Mohammad;2024-01-16;2024-01-12;IPS12101;223210008790
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Shamratul Nahar Mohammad;2024-01-16;2024-01-12;IPS12105;223210008790
Z210;D92A;67453-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;Shamratul Nahar Mohammad;2024-01-16;2024-01-12;IPS12105;223210008790
Z210;D92A;67465-BZ120-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-01-16;2024-01-12;IPS12105;223210008790
Z210;D92A;67455-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-01-16;2024-01-12;IPS12105;223210008790
Z210;P2-30A;PW933718-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-01-16;2024-01-12;IPS12105;223210008790
Z210;P2-13A;PW935103-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-01-16;2024-01-12;IPS12105;223210008790
Z210;P2-13A;PW935250-SG;551;;1;N1P1;P120;Setting;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-01-16;2024-01-12;IPS12105;223210008790
