Z110;P2-13A;RM-CLG-0.8X67;551;;1;N1RF2;P110;Process;Others;3.000;KG;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12101;223210010723
Z210;P2-13A;PW935250-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12105;223210010723
Z210;P2-13A;PW935104-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12105;223210010723
Z210;P2-13A;PW935503-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12105;223210010723
Z210;P2-13A;PW935215-16 RF;551;;1;N1RF1;P120;Process;Bending NG;10.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12101;223210010723
Z210;P2-30A;PW933794-RF;551;;1;N1RF1;P120;Process;Welding NG;2.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12101;223210010723
Z210;P2-30A;PW933791-92-RF;551;;1;N1RF1;P120;Process;Welding NG;2.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12101;223210010723
Z210;P2-30A;PW933795-96-SG;551;;1;N1P1;P120;Process;Welding NG;2.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12105;223210010723
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12101;223210010723
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2025-01-16;2025-01-09;IPS12101;223210010723
