Z110;P2-13A;RM-CLT-1.2X350;551;;1;N1P2;P110;Process;Others;1.000;KG;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-12;2024-12-10;IPS12105;223210010552
Z210;D55L;67462-BZ090-SG;551;;1;N1P1;P120;Setting;D-Test;9.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-12;2024-12-10;IPS12105;223210010552
Z210;D55L;67463-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-12;2024-12-10;IPS12105;223210010552
Z210;D38L;67457-BZ150-SGP3;551;;1;N1P3;P120;Setting;D-Test;1.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-12;2024-12-10;IPS12105;223210010552
Z210;D38L;67458-BZ130-SGP3;551;;1;N1P3;P120;Setting;D-Test;1.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-12;2024-12-10;IPS12105;223210010552
Z210;P2-30A;PW933718-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-12;2024-12-10;IPS12105;223210010552
Z210;P2-13A;PW935249-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-12;2024-12-10;IPS12105;223210010552
Z210;P2-13A;PW935250-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-12;2024-12-10;IPS12105;223210010552
