Z110;D63D;RM-CLT-1.2X180;551;;1;N1P1;P110;Process;Others;3.000;KG;MOHD AZHAR BIN TAIB;2025-05-26;2025-05-16;IPS12105;223210011372
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;MOHD AZHAR BIN TAIB;2025-05-26;2025-05-16;IPS12105;223210011372
Z210;D55L;67467-BZ230-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;MOHD AZHAR BIN TAIB;2025-05-26;2025-05-16;IPS12105;223210011372
Z210;D55L;67463-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;6.000;PCS;MOHD AZHAR BIN TAIB;2025-05-26;2025-05-16;IPS12105;223210011372
Z210;D55L;67462-BZ090-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;MOHD AZHAR BIN TAIB;2025-05-26;2025-05-16;IPS12105;223210011372
Z210;D55L;67453-BZ140-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-05-26;2025-05-16;IPS12105;223210011372
Z210;P2-30A;PW933718-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;MOHD AZHAR BIN TAIB;2025-05-26;2025-05-16;IPS12105;223210011372
Z210;P2-30A;PW933722-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-05-26;2025-05-16;IPS12105;223210011372
Z210;P2-13A;PW935249-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-05-26;2025-05-16;IPS12105;223210011372
