Z110;D87A;RM-CLT-1.6X168;551;;1;N1P1;P110;Process;Others;5.000;KG;Shamratul Nahar Mohammad;2025-01-09;2025-01-02;IPS12105;223210010692
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Welding NG;4.000;PCS;Shamratul Nahar Mohammad;2025-01-09;2025-01-02;IPS12101;223210010692
Z210;P2-13A;PW935211-RF;551;;1;N1RF1;P120;Process;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2025-01-09;2025-01-02;IPS12101;223210010692
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2025-01-09;2025-01-02;IPS12101;223210010692
Z210;P2-30A;PW933800-RF;551;;1;N1RF1;P120;Process;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2025-01-09;2025-01-02;IPS12101;223210010692
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2025-01-09;2025-01-02;IPS12101;223210010692
Z210;P2-30A;PW933793-RF;551;;1;N1RF1;P120;Process;Cutting NG;5.000;PCS;Shamratul Nahar Mohammad;2025-01-09;2025-01-02;IPS12101;223210010692
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Cutting NG;1.000;PCS;Shamratul Nahar Mohammad;2025-01-09;2025-01-02;IPS12101;223210010692
