Z210;D87A;67467-BZ170-SG;551;;1;N1P1;P120;Process;THREAD NG;9.000;PCS;Shamratul Nahar Mohammad;2024-11-12;2024-11-05;IPS12105;223210010377
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-11-12;2024-11-05;IPS12101;223210010377
Z210;P2-13A;PW935231-32-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-11-12;2024-11-05;IPS12101;223210010377
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;Body NG;1.000;PCS;Shamratul Nahar Mohammad;2024-11-12;2024-11-05;IPS12101;223210010377
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;Body NG;1.000;PCS;Shamratul Nahar Mohammad;2024-11-12;2024-11-05;IPS12101;223210010377
Z210;P2-13A;PW935227-RF;551;;1;N1RF1;P120;Process;Crimping NG;2.000;PCS;Shamratul Nahar Mohammad;2024-11-12;2024-11-05;IPS12101;223210010377
Z210;P2-13A;PW935228-RF;551;;1;N1RF1;P120;Process;Crimping NG;10.000;PCS;Shamratul Nahar Mohammad;2024-11-12;2024-11-05;IPS12101;223210010377
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Crimping NG;12.000;PCS;Shamratul Nahar Mohammad;2024-11-12;2024-11-05;IPS12101;223210010377
Z210;P2-13A;PW935211-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-11-12;2024-11-05;IPS12101;223210010377
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-11-12;2024-11-05;IPS12101;223210010377
