Z110;P2-30A;RM-CLG-0.65X70;551;;1;N1RF1;P110;Process;Others;3.600;KG;Shamratul Nahar Mohammad;2025-01-21;2025-01-20;IPS12101;223210010761
Z210;D74A;67457-BZ200-SG;551;;1;N1P1;P120;Process;THREAD NG;18.000;PCS;Shamratul Nahar Mohammad;2025-01-21;2025-01-20;IPS12105;223210010761
Z210;D63D;67458-BZ110-SG;551;;1;N1P1;P120;Process;THREAD NG;2.000;PCS;Shamratul Nahar Mohammad;2025-01-21;2025-01-20;IPS12105;223210010761
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;Cutting NG;1.000;PCS;Shamratul Nahar Mohammad;2025-01-21;2025-01-20;IPS12101;223210010761
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;Cutting NG;1.000;PCS;Shamratul Nahar Mohammad;2025-01-21;2025-01-20;IPS12101;223210010761
