Z110;P2-13A;RM-CLS-0.7X103;551;;1;N1RF2;P110;Process;Dented;11.000;KG;Shamratul Nahar Mohammad;2025-01-09;2025-01-02;IPS12101;223210010691
Z210;D55L;67453-BZ140-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;Shamratul Nahar Mohammad;2025-01-09;2025-01-02;IPS12105;223210010691
Z210;D55L;67462-BZ090-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2025-01-09;2025-01-02;IPS12105;223210010691
Z210;D38L;67453-BZ070-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2025-01-09;2025-01-02;IPS12105;223210010691
Z210;D38L;67455-BZ050-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Shamratul Nahar Mohammad;2025-01-09;2025-01-02;IPS12105;223210010691
Z210;P2-13A;PW935231-32-RF;551;;1;N1RF1;P120;Setting;Bending NG;4.000;PCS;Shamratul Nahar Mohammad;2025-01-09;2025-01-02;IPS12101;223210010691
Z210;P2-30A;PW933791-92-RF;551;;1;N1RF1;P120;Setting;Body NG;4.000;PCS;Shamratul Nahar Mohammad;2025-01-09;2025-01-02;IPS12101;223210010691
Z210;P2-13A;PW935227-RF;551;;1;N1RF1;P120;Process;Welding NG;3.000;PCS;Shamratul Nahar Mohammad;2025-01-09;2025-01-02;IPS12101;223210010691
