Z110;D87A;RM-CLG-0.6X70;551;;1;N1RF1;P110;Process;Hump;2.400;KG;Shamratul Nahar Mohammad;2023-10-10;2023-10-02;IPS12101;223210008260
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;Shamratul Nahar Mohammad;2023-10-10;2023-10-02;IPS12105;223210008260
Z210;D27A;67457-BZ160-SGP3;551;;1;N1P3;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2023-10-10;2023-10-02;IPS12105;223210008260
Z210;D27A;67458-BZ150-SGP3;551;;1;N1P3;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2023-10-10;2023-10-02;IPS12105;223210008260
Z210;D92A;67465-BZ120-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2023-10-10;2023-10-02;IPS12105;223210008260
Z210;D92A;67455-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2023-10-10;2023-10-02;IPS12105;223210008260
Z210;D38L;67453-BZ070-SG;551;;1;N1P1;P120;Setting;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2023-10-10;2023-10-02;IPS12105;223210008260
Z210;P2-30A;PW933718-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2023-10-10;2023-10-02;IPS12105;223210008260
Z210;P2-30A;PW933725-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Shamratul Nahar Mohammad;2023-10-10;2023-10-02;IPS12105;223210008260
