Z210;D87A;67455-BZ040-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2023-08-18;2023-08-08;IPS12105;223210007963
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;Dented;1.000;PCS;Shamratul Nahar Mohammad;2023-08-18;2023-08-08;IPS12101;223210007963
Z210;P2-30A;PW932577-RF;551;;1;N1RF1;P120;Process;Hump;2.000;PCS;Shamratul Nahar Mohammad;2023-08-18;2023-08-08;IPS12101;223210007963
Z210;P2-30A;PW932577-78-RF;551;;1;N1RF2;P120;Process;Hump;2.000;PCS;Shamratul Nahar Mohammad;2023-08-18;2023-08-08;IPS12101;223210007963
Z210;P2-31A;PW935700-RF;551;;1;N1RF1;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2023-08-18;2023-08-08;IPS12101;223210007963
Z210;P2-31A;PW935702-RF;551;;1;N1RF2;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2023-08-18;2023-08-08;IPS12101;223210007963
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Cutting NG;29.000;PCS;Shamratul Nahar Mohammad;2023-08-18;2023-08-08;IPS12101;223210007963
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Cutting NG;6.000;PCS;Shamratul Nahar Mohammad;2023-08-18;2023-08-08;IPS12101;223210007963
Z210;P2-30A;PW932577-78-RF;551;;1;N1RF2;P120;Process;Cutting NG;2.000;PCS;Shamratul Nahar Mohammad;2023-08-18;2023-08-08;IPS12101;223210007963
