Z210;P2-13A;PW935504-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;Shamratul Nahar Mohammad;2023-09-19;2023-09-07;IPS12105;223210008130
Z210;P2-13A;PW935228-RF;551;;1;N1RF1;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2023-09-19;2023-09-07;IPS12101;223210008130
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2023-09-19;2023-09-07;IPS12101;223210008130
Z210;P2-13A;PW935211-RF;551;;1;N1RF1;P120;Process;Crimping NG;7.000;PCS;Shamratul Nahar Mohammad;2023-09-19;2023-09-07;IPS12101;223210008130
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;Crimping NG;7.000;PCS;Shamratul Nahar Mohammad;2023-09-19;2023-09-07;IPS12101;223210008130
Z210;P2-13A;PW935212-RF;551;;1;N1RF1;P120;Process;Level NG;17.000;PCS;Shamratul Nahar Mohammad;2023-09-19;2023-09-07;IPS12101;223210008130
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Level NG;17.000;PCS;Shamratul Nahar Mohammad;2023-09-19;2023-09-07;IPS12101;223210008130
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;Cutting NG;9.000;PCS;Shamratul Nahar Mohammad;2023-09-19;2023-09-07;IPS12101;223210008130
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Cutting NG;3.000;PCS;Shamratul Nahar Mohammad;2023-09-19;2023-09-07;IPS12101;223210008130
Z210;P2-30A;PW933794-RF;551;;1;N1RF1;P120;Process;Cutting NG;1.000;PCS;Shamratul Nahar Mohammad;2023-09-19;2023-09-07;IPS12101;223210008130
