Z210;D55L;68171-72-BZ270-EX;551;;1;N1TPX1;P120;Process;Patches;48.000;PCS;MOHD AZHAR BIN TAIB;2025-06-17;2025-06-17;IPS12103;223210011505
Z210;P2-13A;PW935246-SG;551;;1;N1P1;P120;Process;THREAD NG;8.000;PCS;MOHD AZHAR BIN TAIB;2025-06-17;2025-06-12;IPS12105;223210011505
Z210;D92A;67453-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-06-17;2025-06-12;IPS12105;223210011505
Z210;D92A;67457-BZ180-SGP3;551;;1;N1P3;P120;Setting;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-06-17;2025-06-12;IPS12105;223210011505
Z210;P2-30A;PW932577-78-RF;551;;1;N1RF2;P120;Process;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-06-17;2025-06-12;IPS12101;223210011505
Z210;P2-30A;PW933793-RF;551;;1;N1RF1;P120;Process;Cutting NG;2.000;PCS;MOHD AZHAR BIN TAIB;2025-06-17;2025-06-12;IPS12101;223210011505
Z210;P2-30A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Cutting NG;5.000;PCS;MOHD AZHAR BIN TAIB;2025-06-17;2025-06-12;IPS12101;223210011505
Z110;P2-13A;RM-CLS-0.8X200.5;551;;1;N1RF1;P110;Process;Others;45.100;KG;MOHD AZHAR BIN TAIB;2025-06-17;2025-06-12;IPS12101;223210011505
Z110;P2-30A;RM-CLT-1.2X106;551;;1;N1P1;P110;Process;Others;1.400;KG;MOHD AZHAR BIN TAIB;2025-06-17;2025-06-12;IPS12105;223210011505
