Z110;P2-13A;RM-CLT-1.2X30;551;;1;N1P1;P110;Process;Others;2.200;KG;MOHD AZHAR BIN TAIB;2025-06-24;2025-06-18;IPS12105;223210011541
Z210;D92A;67467-BZ250-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-06-24;2025-06-18;IPS12105;223210011541
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;MOHD AZHAR BIN TAIB;2025-06-24;2025-06-18;IPS12105;223210011541
Z210;D55L;67463-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;MOHD AZHAR BIN TAIB;2025-06-24;2025-06-18;IPS12105;223210011541
Z210;D55L;67467-BZ230-SG;551;;1;N1P1;P120;Setting;D-Test;7.000;PCS;MOHD AZHAR BIN TAIB;2025-06-24;2025-06-18;IPS12105;223210011541
Z210;D55L;67462-BZ090-SG;551;;1;N1P1;P120;Setting;D-Test;8.000;PCS;MOHD AZHAR BIN TAIB;2025-06-24;2025-06-18;IPS12105;223210011541
Z210;D38L;67455-BZ050-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-06-24;2025-06-18;IPS12105;223210011541
Z210;P2-30A;PW933718-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-06-24;2025-06-18;IPS12105;223210011541
Z210;P2-30A;PW933725-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-06-24;2025-06-18;IPS12105;223210011541
