Z110;D38L;RM-CLT-1.6X168;551;;1;N1P1;P110;Process;Others;3.200;KG;Shamratul Nahar Mohammad;2024-11-15;2024-11-09;IPS12105;223210010402
Z210;D55L;67453-BZ140-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;Shamratul Nahar Mohammad;2024-11-15;2024-11-11;IPS12105;223210010402
Z210;D87A;67455-BZ040-SG;551;;1;N1P1;P120;Setting;D-Test;6.000;PCS;Shamratul Nahar Mohammad;2024-11-15;2024-11-11;IPS12105;223210010402
Z210;D87A;67465-BZ060-SG;551;;1;N1P1;P120;Setting;D-Test;6.000;PCS;Shamratul Nahar Mohammad;2024-11-15;2024-11-11;IPS12105;223210010402
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Shamratul Nahar Mohammad;2024-11-15;2024-11-11;IPS12105;223210010402
Z210;D27A;67451-BZ070-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-11-15;2024-11-11;IPS12105;223210010402
Z210;D27A;67462-BZ110-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-11-15;2024-11-11;IPS12105;223210010402
Z210;D55L;67462-BZ090-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;Shamratul Nahar Mohammad;2024-11-15;2024-11-11;IPS12105;223210010402
Z210;D55L;67467-BZ230-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;Shamratul Nahar Mohammad;2024-11-15;2024-11-11;IPS12105;223210010402
