Z110;P2-13A;RM-CLG-0.8X67;551;;1;N1RF2;P110;Process;Hump;6.100;KG;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12101;223210009960
Z210;D27A;67462-BZ110-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12105;223210009960
Z210;D55L;67467-BZ230-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12105;223210009960
Z210;D55L;67453-BZ140-SG;551;;1;N1P1;P120;Setting;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12105;223210009960
Z210;D55L;67462-BZ090-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12105;223210009960
Z210;D38L;67457-BZ150-SGP3;551;;1;N1P3;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12105;223210009960
Z210;D38L;67458-BZ130-SGP3;551;;1;N1P3;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12105;223210009960
Z210;D38L;67453-BZ110-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12105;223210009960
Z210;D38L;67453-BZ070-SG;551;;1;N1P1;P120;Setting;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12105;223210009960
Z210;P2-30A;PW933718-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;Shamratul Nahar Mohammad;2024-08-22;2024-08-16;IPS12105;223210009960
